recordNumber,accountNumber,accountType,customerId,accountLimit,balance,openDate
1,1234567890123456789012,savings,1001,3000.0,2500.0,2023-01-01 
2,1234567890123456789013,recurringDepositt,1001,1500.0,1600.0,2023-01-02
3,1234567890123456789014,fixedDepositAccount,1001,3000.0,3100.0,2023-01-03
4,1234567890123456789015,avings,1002,1200.0,1300.0,2023-01-04
5,1234567890123456789016,recurringDeposit,1002,1800.0,1900.0,2023-01-05
6,1234567890123456789017,fixedDepositAccount,1003,600.0,700.0,2023-01-06
7,1234567890123456789018,saings,1003,900.0,950.0,2023-01-07
8,1234567890123456789019,recurringDeposit,1006,1000.0,1100.0,2023-01-08
9,1234567890123456789020,fixedDepositAccount,1006,500.0,600.0,2023-01-09
10,1234567890123456789021,savings,1005,700.0,750.0,2023-01-10
11,1234567890123456789022,recurringDeposit,1007,1500.0,1400.0,2023-01-11
12,1234567890123456789023,fixedDepositAccount,1020,2000.0,2200.0,2023-01-12
13,1234567890123456789024,savings,1020,1200.0,1300.0,2023-01-13
14,1234567890123456789025,recurringDeposit,1015,2500.0,2600.0,2023-01-14
15,1234567890123456789026,fixedDepositAccount,1016,900.0,1000.0,2023-01-15
16,1234567890123456789027,savings,1006,2000.0,2100.0,2023-01-16
17,1234567890123456789028,recurringDeposit,1019,600.0,700.0,2023-01-17
18,1234567890123456789029,fixedDepositAccount,1018,1500.0,1600.0,2023-01-18
19,1234567890123456789030,savings,1020,1100.0,1200.0,2023-01-19
20,1234567890123456789031,recuringDeposit,1020,800.0,900.0,2023-01-20
21,1234567890123456789032,fixedDepositAccount,1021,2000.0,2100.0,2023-01-21
22,1234567890123456789033,savings,1022,3000.0,3100.0,2023-01-22
23,1234567890123456789034,recurringDeposit,1033,3000.0,3500.0,2023-01-23
24,1234567890123456789035,fixedDepositAccount,1024,1500.0,2000.0,2023-01-24
25,1234567890123456789036,savings,1015,600.0,700.0,2023-01-25
26,1234567890123456789037,recurringDeposit,1026,1500.0,1600.0,2023-01-26
